review_title,review_date,reviewer_country,room_type,party_size,nr_nights,date_stay,review_score,review_great,review_poor,hotel_response_bool
Very good,08-2023,Indonesia,Standard Queen Room,Family,7,08-2023,8.0,N/A,N/A,False
Good,08-2023,Israel,Deluxe King Room,Couple,2,08-2023,7.0,N/A,N/A,False
Good,08-2023,Bulgaria,Standard Queen Room,Family,2,08-2023,7.0,N/A,N/A,False
Superb,08-2023,Australia,Standard Queen Room,Solo traveller,1,08-2023,9.0,N/A,N/A,False
Good,08-2023,Netherlands,Deluxe King Room,Group,1,08-2023,7.0,N/A,N/A,False
Very good,07-2023,Ireland,Standard Queen Room,Couple,4,07-2023,8.0,N/A,N/A,False
Very good,08-2023,Germany,Standard Queen Room,Group,2,08-2023,8.0,N/A,N/A,False
Very good,07-2023,Netherlands,Standard Queen Room,Couple,1,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Belgium,Standard Queen Room,Family,1,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Germany,Deluxe Studio,Family,2,07-2023,8.0,N/A,N/A,False
Superb,07-2023,Finland,Standard Queen Room,Solo traveller,6,07-2023,9.0,N/A,N/A,False
Superb,07-2023,Estonia,Standard Queen Room,Couple,1,07-2023,9.0,N/A,N/A,False
Superb,07-2023,France,Deluxe King Room,Family,5,07-2023,9.0,N/A,N/A,False
Very good,07-2023,Iran,Standard Queen Room,Solo traveller,3,07-2023,8.0,N/A,N/A,False
Very good,07-2023,United Kingdom,Standard Queen Room,Couple,3,07-2023,8.0,N/A,N/A,False
Superb,07-2023,United Arab Emirates,Standard Queen Room,Solo traveller,9,07-2023,9.0,N/A,N/A,False
Superb,07-2023,Italy,Standard Queen Room,Solo traveller,1,07-2023,9.0,N/A,N/A,False
Superb,07-2023,Slovakia,Standard Queen Room,Couple,3,07-2023,9.0,N/A,N/A,False
Very good,07-2023,South Africa,Deluxe King Room,Family,2,07-2023,8.0,N/A,N/A,False
Very good,07-2023,Estonia,Standard Queen Room,Family,1,07-2023,8.0,N/A,N/A,False
My prefered hotel in Groningen since years.,05-2023,Germany,Deluxe King Room,Solo traveller,1,05-2023,9.0,N/A,N/A,True
Superb,06-2023,United Kingdom,Standard Queen Room,Solo traveller,3,06-2023,9.0,N/A,N/A,False
Good,06-2023,Netherlands,Standard Queen Room,Solo traveller,2,06-2023,7.0,N/A,N/A,False
Very good,06-2023,Netherlands,Standard Queen Room,Couple,3,06-2023,8.0,N/A,N/A,False
Superb,05-2023,Cyprus,Deluxe King Room,Group,3,05-2023,9.0,N/A,N/A,False
Superb,05-2023,France,Deluxe King Room,Couple,2,05-2023,9.0,N/A,N/A,False
Good,05-2023,Germany,Deluxe King Room,Family,2,05-2023,7.0,N/A,N/A,False
Superb,05-2023,Bulgaria,Standard Queen Room,Couple,1,05-2023,9.0,N/A,N/A,False
Superb,05-2023,Netherlands,Standard Queen Room,Solo traveller,1,05-2023,9.0,N/A,N/A,False
Very good,05-2023,Turkey,Standard Queen Room,Couple,2,05-2023,8.0,N/A,N/A,False
Good,04-2023,Ireland,Deluxe King Room,Couple,2,04-2023,7.0,N/A,N/A,False
Superb,05-2023,Netherlands,Standard Queen Room,Family,2,05-2023,9.0,N/A,N/A,False
Superb,05-2023,Luxembourg,Deluxe King Room,Family,2,05-2023,9.0,N/A,N/A,False
Very good,02-2023,Germany,Deluxe King Room,Solo traveller,3,02-2023,8.0,N/A,N/A,False
Very good,03-2023,Netherlands,Deluxe King Room,Family,2,03-2023,8.0,N/A,N/A,False
Good,01-2023,Netherlands,Deluxe King Room,Solo traveller,1,01-2023,7.0,N/A,N/A,False
Superb,04-2023,United Arab Emirates,Deluxe King Room,Family,4,04-2023,9.0,N/A,N/A,False
Superb,03-2023,Oman,Deluxe King Room,Family,6,03-2023,9.0,N/A,N/A,False
Very good,03-2023,Suriname,Deluxe King Room,Family,2,03-2023,8.0,N/A,N/A,False
Superb,02-2023,United Kingdom,Deluxe King Room,Solo traveller,2,02-2023,9.0,N/A,N/A,False
Very good,02-2023,Cyprus,Standard Queen Room,Couple,1,02-2023,8.0,N/A,N/A,False
Very good,03-2023,United Kingdom,Standard Queen Room,Couple,3,03-2023,8.0,N/A,N/A,False
Very good,02-2023,Belgium,Standard Queen Room,Couple,1,02-2023,8.0,N/A,N/A,False
Good,12-2022,Netherlands,Deluxe King Room,Couple,1,12-2022,7.0,N/A,N/A,False
Superb,02-2023,Germany,Deluxe King Room,Family,2,02-2023,9.0,N/A,N/A,False
Very good,02-2023,Netherlands,Deluxe King Room,Couple,1,02-2023,8.0,N/A,N/A,False
Very good,02-2023,Ireland,Deluxe King Room,Solo traveller,2,02-2023,8.0,N/A,N/A,False
Superb,02-2023,Ireland,Deluxe King Room,Group,1,02-2023,9.0,N/A,N/A,False
Very good,01-2023,Netherlands,Standard Queen Room,Solo traveller,1,01-2023,8.0,N/A,N/A,False
Good,01-2023,Netherlands,Deluxe King Room,Couple,1,01-2023,7.0,N/A,N/A,False
Superb,01-2023,Spain,Deluxe King Room,Solo traveller,4,01-2023,9.0,N/A,N/A,False
Superb,01-2023,Belgium,Deluxe King Room,Solo traveller,1,01-2023,9.0,N/A,N/A,False
Very good,01-2023,Netherlands,Deluxe King Room,Couple,1,01-2023,8.0,N/A,N/A,False
Superb,01-2023,Germany,Deluxe King Room,Couple,2,01-2023,9.0,N/A,N/A,False
Superb,01-2023,Netherlands,Deluxe King Room,Couple,1,01-2023,9.0,N/A,N/A,False
Superb,01-2023,Netherlands,Standard Queen Room,Family,1,01-2023,9.0,N/A,N/A,False
Superb,12-2022,Netherlands,Standard Queen Room,Solo traveller,3,12-2022,9.0,N/A,N/A,False
Very good,12-2022,Czech Republic,Deluxe King Room,Couple,1,12-2022,8.0,N/A,N/A,False
Very good,01-2023,Germany,Deluxe King Room,Couple,2,01-2023,8.0,N/A,N/A,False
Superb,11-2022,Greece,Standard Queen Room,Family,2,11-2022,9.0,N/A,N/A,False
Superb,12-2022,Denmark,Standard Queen Room,Couple,1,12-2022,9.0,N/A,N/A,False
Superb,12-2022,Germany,Deluxe King Room,Family,3,12-2022,9.0,N/A,N/A,False
Very good,12-2022,Netherlands,Deluxe King Room,Couple,1,12-2022,8.0,N/A,N/A,False
Very good,11-2022,United Kingdom,Standard Queen Room,Solo traveller,3,11-2022,8.0,N/A,N/A,False
Superb,12-2022,Italy,Deluxe King Room,Couple,1,12-2022,9.0,N/A,N/A,False
Superb,11-2022,Netherlands,Standard Queen Room,Solo traveller,1,11-2022,9.0,N/A,N/A,False
Superb,12-2022,Netherlands,Deluxe King Room,Solo traveller,1,12-2022,9.0,N/A,N/A,False
Very good,12-2022,United Kingdom,Standard Queen Room,Solo traveller,3,12-2022,8.0,N/A,N/A,False
Very good,11-2022,Netherlands,Deluxe King Room,Couple,2,11-2022,8.0,N/A,N/A,False
Good,10-2022,United Kingdom,Deluxe King Room,Solo traveller,2,10-2022,7.0,N/A,N/A,False
Very good,08-2022,Indonesia,Deluxe King Room,Family,4,08-2022,8.0,N/A,N/A,False
Good,11-2022,Netherlands,Standard Queen Room,Solo traveller,1,11-2022,7.0,N/A,N/A,False
Very good,11-2022,Poland,Deluxe King Room,Solo traveller,1,11-2022,8.0,N/A,N/A,False
Very good,11-2022,Netherlands,Standard Queen Room,Group,2,11-2022,8.0,N/A,N/A,False
Superb,11-2022,Netherlands,Deluxe King Room,Family,1,11-2022,9.0,N/A,N/A,False
Very good,10-2022,Netherlands,Deluxe King Room,Couple,2,10-2022,8.0,N/A,N/A,False
Superb,11-2022,United Kingdom,Deluxe King Room,Solo traveller,1,11-2022,9.0,N/A,N/A,False
Superb,10-2022,Latvia,Standard Queen Room,Family,2,10-2022,9.0,N/A,N/A,False
Superb,10-2022,Suriname,Standard Queen Room,Family,1,10-2022,9.0,N/A,N/A,False
Very good,08-2022,Hong Kong,Standard Queen Room,Couple,2,08-2022,8.0,N/A,N/A,False
Very good,10-2022,Suriname,Standard Queen Room,Family,2,10-2022,8.0,N/A,N/A,False
Very good,10-2022,Netherlands,Deluxe King Room,Couple,2,10-2022,8.0,N/A,N/A,False
Superb,09-2022,Greece,Deluxe King Room,Solo traveller,1,09-2022,9.0,N/A,N/A,False
Superb,10-2022,Turkey,Deluxe King Room,Family,3,10-2022,9.0,N/A,N/A,False
Very good,10-2022,Netherlands,Deluxe King Room,Couple,1,10-2022,8.0,N/A,N/A,False
Superb,07-2022,Denmark,Standard Queen Room,Solo traveller,2,07-2022,9.0,N/A,N/A,False
Superb,08-2022,Germany,Standard Queen Room,Solo traveller,3,08-2022,9.0,N/A,N/A,False
Very good,08-2022,Hong Kong,Standard Queen Room,Solo traveller,1,08-2022,8.0,N/A,N/A,False
Superb,08-2022,United Kingdom,Standard Queen Room,Family,2,08-2022,9.0,N/A,N/A,False
Very good,08-2022,Germany,Standard Queen Room,Solo traveller,4,08-2022,8.0,N/A,N/A,False
Superb,08-2022,Netherlands,Standard Queen Room,Couple,1,08-2022,9.0,N/A,N/A,False
Very good,08-2022,Romania,Standard Queen Room,Family,2,08-2022,8.0,N/A,N/A,False
Very good,06-2022,Netherlands,Deluxe King Room,Family,1,06-2022,8.0,N/A,N/A,False
Good,07-2022,Netherlands,Standard Queen Room,Couple,1,07-2022,7.0,N/A,N/A,False
Very good,07-2022,Italy,Standard Queen Room,Group,3,07-2022,8.0,N/A,N/A,False
Very good,08-2022,Netherlands,Standard Queen Room,Group,1,08-2022,8.0,N/A,N/A,False
Very good,08-2022,United Kingdom,Standard Queen Room,Family,1,08-2022,8.0,N/A,N/A,False
Very good,08-2022,United Kingdom,Deluxe King Room,Couple,2,08-2022,8.0,N/A,N/A,False
Good,08-2022,Greece,Standard Queen Room,Couple,4,08-2022,7.0,N/A,N/A,False
Superb,08-2022,Cyprus,Deluxe King Room,Family,1,08-2022,9.0,N/A,N/A,False
Superb,08-2022,Ireland,Standard Queen Room,Couple,6,08-2022,9.0,N/A,N/A,False
Very good,08-2022,Germany,Standard Queen Room,Couple,2,08-2022,8.0,N/A,N/A,False
Very good,08-2022,South Korea,Standard Queen Room,Solo traveller,3,08-2022,8.0,N/A,N/A,False
Good,08-2022,South Korea,Standard Queen Room,Family,1,08-2022,7.0,N/A,N/A,False
Superb,08-2022,Netherlands,Standard Queen Room,Couple,2,08-2022,9.0,N/A,N/A,False
Superb,08-2022,Netherlands,Standard Queen Room,Couple,14,08-2022,9.0,N/A,N/A,False
Superb,08-2022,Netherlands,Standard Queen Room,Family,1,08-2022,9.0,N/A,N/A,False
Very good,08-2022,Netherlands,Standard Queen Room,Couple,1,08-2022,8.0,N/A,N/A,False
Very good,07-2022,Netherlands,Deluxe King Room,Group,1,07-2022,8.0,N/A,N/A,False
Superb,07-2022,United Kingdom,Deluxe King Room,Solo traveller,4,07-2022,9.0,N/A,N/A,False
Superb,08-2022,Switzerland,Standard Queen Room,Group,1,08-2022,9.0,N/A,N/A,False
Superb,08-2022,Netherlands,Deluxe King Room,Couple,1,08-2022,9.0,N/A,N/A,False
Superb,08-2022,Netherlands,Standard Queen Room,Family,2,08-2022,9.0,N/A,N/A,False
Very good,08-2022,Netherlands,Standard Queen Room,Couple,2,08-2022,8.0,N/A,N/A,False
Superb,07-2022,Romania,Standard Queen Room,Couple,5,07-2022,9.0,N/A,N/A,False
Superb,05-2022,Cyprus,Deluxe King Room,Solo traveller,5,05-2022,9.0,N/A,N/A,False
Superb,07-2022,Poland,Standard Queen Room,Group,2,07-2022,9.0,N/A,N/A,False
Very good,07-2022,Netherlands,Standard Queen Room,Couple,1,07-2022,8.0,N/A,N/A,False
Superb,07-2022,Norway,Deluxe King Room,Family,1,07-2022,9.0,N/A,N/A,False
Superb,07-2022,Turkey,Standard Queen Room,Couple,4,07-2022,9.0,N/A,N/A,False
Very good,07-2022,Germany,Standard Queen Room,Couple,3,07-2022,8.0,N/A,N/A,False
Superb,07-2022,Cyprus,Standard Queen Room,Family,5,07-2022,9.0,N/A,N/A,False
Good,07-2022,Netherlands,Standard Queen Room,Solo traveller,1,07-2022,7.0,N/A,N/A,False
Superb,07-2022,United Kingdom,Deluxe King Room,Family,3,07-2022,9.0,N/A,N/A,False
Superb,07-2022,Spain,Standard Queen Room,Group,2,07-2022,9.0,N/A,N/A,False
Superb,06-2022,Portugal,Standard Queen Room,Couple,2,06-2022,9.0,N/A,N/A,False
Superb,06-2022,Netherlands,Deluxe King Room,Couple,2,06-2022,9.0,N/A,N/A,False
Good,06-2022,Belgium,Standard Queen Room,Couple,1,06-2022,7.0,N/A,N/A,False
Good,04-2022,Switzerland,Deluxe King Room,Solo traveller,1,04-2022,7.0,N/A,N/A,False
Very good,06-2022,Israel,Deluxe King Room,Family,1,06-2022,8.0,N/A,N/A,False
top value,05-2022,Netherlands,Deluxe King Room,Solo traveller,1,05-2022,8.0,N/A,N/A,False
Superb,04-2022,Netherlands,Deluxe King Room,Family,2,04-2022,9.0,N/A,N/A,False
Good,04-2022,Finland,Deluxe King Room,Group,1,04-2022,7.0,N/A,N/A,False
Superb,03-2022,Ireland,Deluxe King Room,Solo traveller,1,03-2022,9.0,N/A,N/A,False
Superb,04-2022,Germany,Deluxe King Room,Couple,1,04-2022,9.0,N/A,N/A,False
Superb,02-2022,Netherlands,Standard Queen Room,Couple,1,02-2022,9.0,N/A,N/A,False
Very good,03-2022,Belgium,Standard Queen Room,Group,4,03-2022,8.0,N/A,N/A,False
Very good,02-2022,Netherlands,Standard Queen Room,Solo traveller,2,02-2022,8.0,N/A,N/A,False
Superb,12-2021,Canada,Deluxe King Room,Family,1,12-2021,9.0,N/A,N/A,False
Very good,12-2021,Germany,Standard Queen Room,Family,1,12-2021,8.0,N/A,N/A,False
Very good,10-2021,Kazakhstan,Deluxe King Room,Solo traveller,2,10-2021,8.0,N/A,N/A,False
Very good,11-2021,Netherlands,Deluxe Queen Room,Solo traveller,1,11-2021,8.0,N/A,N/A,False
Superb,11-2021,Netherlands,Deluxe King Room,Couple,1,11-2021,9.0,N/A,N/A,False
Good,11-2021,United Arab Emirates,Deluxe King Room,Couple,4,11-2021,7.0,N/A,N/A,False
Very good,10-2021,Netherlands,Deluxe King Room,Family,1,10-2021,8.0,N/A,N/A,False
Superb,10-2021,Netherlands,Standard Queen Room,Family,2,10-2021,9.0,N/A,N/A,False
Very good,08-2021,United Arab Emirates,Standard Queen Room,Solo traveller,4,08-2021,8.0,N/A,N/A,False
Very good,08-2021,Netherlands,Deluxe King Room,Couple,1,08-2021,8.0,N/A,N/A,False
Comfortable and central,09-2021,Malta,Standard Queen Room,Couple,3,09-2021,8.0,N/A,N/A,False
Very good,08-2021,Democratic Republic of Congo,Standard Queen Room,Solo traveller,1,08-2021,8.0,N/A,N/A,False
Very good,08-2021,Suriname,Deluxe King Room,Family,1,08-2021,8.0,N/A,N/A,False
Superb,09-2021,Netherlands,Standard Queen Room,Solo traveller,1,09-2021,9.0,N/A,N/A,False
Superb,08-2021,Germany,Standard Queen Room,Family,1,08-2021,9.0,N/A,N/A,False
Very good,09-2021,Netherlands,Standard Queen Room,Family,1,09-2021,8.0,N/A,N/A,False
Very good,08-2021,Germany,Standard Queen Room,Solo traveller,6,08-2021,8.0,N/A,N/A,False
Very good,08-2021,Netherlands,Standard Queen Room,Group,3,08-2021,8.0,N/A,N/A,False
Very good,08-2021,Sweden,Standard Queen Room,Solo traveller,4,08-2021,8.0,N/A,N/A,False
Very good,07-2021,Netherlands,Standard Queen Room,Solo traveller,4,07-2021,8.0,N/A,N/A,False
Good,08-2021,South Africa,Standard Queen Room,Couple,1,08-2021,7.0,N/A,N/A,False
"Amazing staff, service and room",08-2021,Netherlands,Standard Queen Room,Couple,3,08-2021,9.0,N/A,N/A,False
Good,08-2021,Netherlands,Standard Queen Room,Couple,2,08-2021,7.0,N/A,N/A,False
Very good,08-2021,Netherlands,Standard Queen Room,Solo traveller,1,08-2021,8.0,N/A,N/A,False
Superb,06-2021,United Kingdom,Standard Queen Room,Couple,2,06-2021,9.0,N/A,N/A,False
Superb,07-2021,Netherlands,Deluxe King Room,Group,1,07-2021,9.0,N/A,N/A,False
Superb,07-2021,Netherlands,Standard Queen Room,Solo traveller,4,07-2021,9.0,N/A,N/A,False
Superb,07-2021,Cyprus,Standard Queen Room,Family,2,07-2021,9.0,N/A,N/A,False
Fabulous,07-2021,Germany,Standard Queen Room,Couple,3,07-2021,8.8,N/A,N/A,False
Superb,07-2021,Romania,Standard Queen Room,Solo traveller,3,07-2021,9.0,N/A,N/A,False
Superb,07-2021,Romania,Standard Queen Room,Solo traveller,4,07-2021,9.0,N/A,N/A,False
Superb,06-2021,Germany,Standard Queen Room,Couple,1,06-2021,9.0,N/A,N/A,False
Good,06-2021,United Kingdom,Standard Queen Room,Couple,1,06-2021,7.0,N/A,N/A,False
Superb,01-2021,Netherlands,Standard Queen Room,Group,1,01-2021,9.0,N/A,N/A,False
Very good,12-2020,Netherlands,Deluxe King Room,Couple,1,12-2020,8.0,N/A,N/A,False
Exceptional,11-2023,Ireland,Deluxe King Room,Family,2,11-2023,10,N/A,N/A,False
Exceptional,12-2023,India,Deluxe King Room,Family,5,12-2023,10,N/A,N/A,False
Exceptional,11-2023,Latvia,Standard Queen Room,Family,2,11-2023,10,N/A,N/A,False
Exceptional,11-2023,Netherlands,Standard Queen Room,Couple,1,11-2023,10,N/A,N/A,False
Exceptional,10-2023,Netherlands,Deluxe King Room,Couple,1,10-2023,10,N/A,N/A,False
Exceptional,09-2023,Thailand,Deluxe King Room,Family,3,09-2023,10,N/A,N/A,False
Pleasant,10-2023,United Arab Emirates,Standard Queen Room,Couple,1,10-2023,6.0,N/A,N/A,False
Exceptional,10-2023,Germany,Deluxe King Room,Couple,3,10-2023,10,N/A,N/A,False
Exceptional,09-2023,Thailand,Deluxe King Room,Family,1,09-2023,10,N/A,N/A,False
Pleasant,08-2023,Georgia,Standard Queen Room,Couple,6,08-2023,6.0,N/A,N/A,False
Exceptional,09-2023,Germany,Standard Queen Room,Couple,2,09-2023,10,N/A,N/A,False
Exceptional,09-2023,Slovakia,Standard Queen Room,Family,1,09-2023,10,N/A,N/A,False
Exceptional,08-2023,South Africa,Standard Queen Room,Family,6,08-2023,10,N/A,N/A,False
Exceptional,07-2023,United Kingdom,Standard Queen Room,Family,1,07-2023,10,N/A,N/A,False
Exceptional,08-2023,Netherlands,Standard Queen Room,Group,5,08-2023,10,N/A,N/A,False
Exceptional,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,10,N/A,N/A,False
Passable,08-2023,Netherlands,Standard Queen Room,Couple,1,08-2023,5.0,N/A,N/A,False
Exceptional,07-2023,United Kingdom,Standard Queen Room,Couple,3,07-2023,10,N/A,N/A,False
Pleasant,08-2023,France,Standard Queen Room,Family,3,08-2023,6.0,N/A,N/A,False
Exceptional,07-2023,Netherlands,Standard Queen Room,Family,1,07-2023,10,N/A,N/A,False
Exceptional,07-2023,United Kingdom,Standard Queen Room,Group,3,07-2023,10,N/A,N/A,False
Exceptional,04-2023,Romania,Deluxe King Room,Family,2,04-2023,10,N/A,N/A,False
Exceptional,07-2023,Finland,Deluxe King Room,Solo traveller,1,07-2023,10,N/A,N/A,False
Exceptional,06-2023,Qatar,Deluxe King Room,Family,1,06-2023,10,N/A,N/A,False
Exceptional,06-2023,Russia,Standard Queen Room,Couple,2,06-2023,10,N/A,N/A,False
Exceptional,06-2023,Romania,Deluxe King Room,Couple,3,06-2023,10,N/A,N/A,False
Exceptional,04-2023,Italy,Standard Queen Room,Couple,1,04-2023,10,N/A,N/A,False
Poor,04-2023,Ireland,Standard Queen Room,Solo traveller,2,04-2023,3.0,N/A,N/A,False
Exceptional,04-2023,Germany,Deluxe King Room,Couple,2,04-2023,10,N/A,N/A,False
Exceptional,04-2023,Germany,Deluxe King Room,Family,1,04-2023,10,N/A,N/A,False
Exceptional,04-2023,Netherlands,Standard Queen Room,Solo traveller,1,04-2023,10,N/A,N/A,False
Exceptional,04-2023,Spain,Deluxe King Room,Family,2,04-2023,10,N/A,N/A,False
Exceptional,04-2023,Germany,Deluxe King Room,Solo traveller,1,04-2023,10,N/A,N/A,False
Exceptional,04-2023,Serbia,Deluxe King Room,Family,4,04-2023,10,N/A,N/A,False
Exceptional,04-2023,Austria,Standard Queen Room,Solo traveller,3,04-2023,10,N/A,N/A,False
Exceptional,03-2023,Hungary,Deluxe King Room,Couple,3,03-2023,10,N/A,N/A,False
Exceptional,01-2023,Spain,Standard Queen Room,Solo traveller,1,01-2023,10,N/A,N/A,False
Exceptional,12-2022,Israel,Standard Queen Room,Solo traveller,7,12-2022,10,N/A,N/A,False
Exceptional,03-2023,Netherlands,Deluxe King Room,Couple,1,03-2023,10,N/A,N/A,False
Exceptional,02-2023,Germany,Deluxe King Room,Couple,2,02-2023,10,N/A,N/A,False
Exceptional,02-2023,South Africa,Deluxe King Room,Family,3,02-2023,10,N/A,N/A,False
Exceptional,02-2023,United Kingdom,Standard Queen Room,Group,4,02-2023,10,N/A,N/A,False
Exceptional,02-2023,United Kingdom,Deluxe King Room,Family,2,02-2023,10,N/A,N/A,False
Exceptional,01-2023,Belgium,Standard Queen Room,Couple,2,01-2023,10,N/A,N/A,False
Exceptional,01-2023,Cyprus,Deluxe King Room,Family,1,01-2023,10,N/A,N/A,False
Exceptional,01-2023,Netherlands,Deluxe King Room,Couple,1,01-2023,10,N/A,N/A,False
Exceptional,01-2023,Serbia,Deluxe King Room,Couple,1,01-2023,10,N/A,N/A,False
Exceptional,01-2023,Albania,Deluxe King Room,Family,4,01-2023,10,N/A,N/A,False
Exceptional,12-2022,Germany,Deluxe King Room,Couple,1,12-2022,10,N/A,N/A,False
Pleasant,12-2022,United Kingdom,Standard Queen Room,Solo traveller,1,12-2022,6.0,N/A,N/A,False
Exceptional,12-2022,Singapore,Standard Queen Room,Couple,3,12-2022,10,N/A,N/A,False
Exceptional,09-2022,Netherlands,Standard Queen Room,Couple,1,09-2022,10,N/A,N/A,False
Exceptional,12-2022,Netherlands,Deluxe King Room,Couple,1,12-2022,10,N/A,N/A,False
Exceptional,12-2022,Germany,Deluxe King Room,Solo traveller,1,12-2022,10,N/A,N/A,False
Exceptional,11-2022,Germany,Standard Queen Room,Group,2,11-2022,10,N/A,N/A,False
Exceptional,12-2022,Netherlands,Deluxe King Room,Solo traveller,1,12-2022,10,N/A,N/A,False
"Perfect location, friendly and professional staff, nice room, comfortable bed, lovely breakfast",11-2022,Hungary,Deluxe King Room,Solo traveller,3,11-2022,10,N/A,N/A,False
Exceptional,12-2022,Denmark,Deluxe King Room,Solo traveller,4,12-2022,10,N/A,N/A,False
Exceptional,11-2022,Romania,Deluxe King Room,Family,1,11-2022,10,N/A,N/A,False
Exceptional,11-2022,Ireland,Deluxe King Room,Solo traveller,2,11-2022,10,N/A,N/A,False
Exceptional,10-2022,Germany,Deluxe King Room,Family,1,10-2022,10,N/A,N/A,False
Pleasant,10-2022,Germany,Deluxe King Room,Family,2,10-2022,6.0,N/A,N/A,False
Passable,09-2022,Curaçao,Deluxe King Room,Solo traveller,2,09-2022,5.0,N/A,N/A,False
Exceptional,08-2022,Bulgaria,Standard Queen Room,Family,1,08-2022,10,N/A,N/A,False
Exceptional,08-2022,India,Standard Queen Room,Family,12,08-2022,10,N/A,N/A,False
Exceptional,08-2022,Slovakia,Standard Queen Room,Solo traveller,9,08-2022,10,N/A,N/A,False
"Nice accomdations, friendly staff, good price and close to the city center. Good value for money",07-2022,Norway,Standard Queen Room,Couple,3,07-2022,10,N/A,N/A,False
Exceptional,09-2022,Ireland,Deluxe King Room,Solo traveller,2,09-2022,10,N/A,N/A,False
Exceptional,08-2022,Bulgaria,Deluxe King Room,Couple,4,08-2022,10,N/A,N/A,False
Exceptional,08-2022,Bulgaria,Standard Queen Room,Couple,4,08-2022,10,N/A,N/A,False
Exceptional,08-2022,Latvia,Standard Queen Room,Couple,4,08-2022,10,N/A,N/A,False
Exceptional,08-2022,Portugal,Standard Queen Room,Solo traveller,1,08-2022,10,N/A,N/A,False
Exceptional,08-2022,Romania,Standard Queen Room,Couple,3,08-2022,10,N/A,N/A,False
Exceptional,08-2022,Israel,Standard Queen Room,Family,1,08-2022,10,N/A,N/A,False
Exceptional,08-2022,Netherlands,Deluxe King Room,Family,1,08-2022,10,N/A,N/A,False
Exceptional,07-2022,Bulgaria,Deluxe King Room,Couple,3,07-2022,10,N/A,N/A,False
Exceptional,07-2022,Indonesia,Standard Queen Room,Couple,1,07-2022,10,N/A,N/A,False
Exceptional,07-2022,Hungary,Standard Queen Room,Couple,1,07-2022,10,N/A,N/A,False
Exceptional,07-2022,Poland,Standard Queen Room,Family,6,07-2022,10,N/A,N/A,False
Pleasant,07-2022,Netherlands,Standard Queen Room,Family,1,07-2022,6.0,N/A,N/A,False
Exceptional,07-2022,United Kingdom,Standard Queen Room,Family,1,07-2022,10,N/A,N/A,False
Exceptional,07-2022,Netherlands,Deluxe King Room,Couple,1,07-2022,10,N/A,N/A,False
Exceptional,07-2022,Netherlands,Standard Queen Room,Solo traveller,2,07-2022,10,N/A,N/A,False
Exceptional,07-2022,United Kingdom,Standard Queen Room,Solo traveller,4,07-2022,10,N/A,N/A,False
Disappointing,07-2022,Netherlands,Deluxe King Room,Solo traveller,2,07-2022,4.0,N/A,N/A,False
Exceptional,06-2022,Germany,Deluxe King Room,Couple,3,06-2022,10,N/A,N/A,False
Exceptional,04-2022,Netherlands,Standard Queen Room,Solo traveller,1,04-2022,10,N/A,N/A,False
Exceptional,06-2022,Israel,Standard Queen Room,Family,1,06-2022,10,N/A,N/A,False
"Ok hotel, not okay personnel",04-2022,Netherlands,Deluxe King Room,Group,1,04-2022,5.0,N/A,N/A,False
Exceptional,04-2022,Chile,Standard Queen Room,Solo traveller,1,04-2022,10,N/A,N/A,False
Exceptional,04-2022,Costa Rica,Deluxe King Room,Couple,2,04-2022,10,N/A,N/A,False
Exceptional,12-2021,Latvia,Standard Queen Room,Couple,1,12-2021,10,N/A,N/A,False
Exceptional,11-2021,Russia,Deluxe King Room,Solo traveller,8,11-2021,10,N/A,N/A,False
Exceptional,10-2021,North Macedonia,Deluxe King Room,Solo traveller,4,10-2021,10,N/A,N/A,False
Exceptional,10-2021,Netherlands,Deluxe King Room,Family,2,10-2021,10,N/A,N/A,False
Exceptional,08-2021,Germany,Standard Queen Room,Solo traveller,3,08-2021,10,N/A,N/A,False
Exceptional,09-2021,South Africa,Deluxe King Room,Family,3,09-2021,10,N/A,N/A,False
Exceptional,08-2021,Moldova,Standard Queen Room,Solo traveller,1,08-2021,10,N/A,N/A,False
Exceptional,08-2021,Armenia,Standard Queen Room,Solo traveller,2,08-2021,10,N/A,N/A,False
Exceptional,08-2021,Romania,Deluxe King Room,Family,2,08-2021,10,N/A,N/A,False
Exceptional,06-2021,Netherlands,Standard Queen Room,Couple,1,06-2021,10,N/A,N/A,False
Exceptional,08-2021,Romania,Standard Queen Room,Solo traveller,1,08-2021,10,N/A,N/A,False
Exceptional,08-2021,Netherlands,Standard Queen Room,Couple,1,08-2021,10,N/A,N/A,False
Exceptional,08-2021,Netherlands,Standard Queen Room,Solo traveller,2,08-2021,10,N/A,N/A,False
Bad,07-2021,Nigeria,Standard Queen Room,Solo traveller,1,07-2021,1.0,N/A,N/A,False
Nice place,07-2021,Lithuania,Deluxe King Room,Group,2,07-2021,10,N/A,N/A,False
Exceptional,06-2021,Hungary,Standard Queen Room,Couple,1,06-2021,10,N/A,N/A,False
Exceptional,06-2021,Lithuania,Standard Queen Room,Group,1,06-2021,10,N/A,N/A,False
Exceptional,04-2021,Netherlands,Standard Queen Room,Couple,2,04-2021,10,N/A,N/A,False
Exceptional,04-2021,Netherlands,Standard Queen Room,Solo traveller,2,04-2021,10,N/A,N/A,False
